,favorite_count,full_text,quote_count,reply_count,retweet_count
0,0,Oli Mesin Bensin &amp; Diesel Galon 4L SHELL HELIX HX3 20W-50 HARGA : 180.000 NETT (TIDAK NEGO) Active Cleansing Technology sebagai perlindungan mesin LOKASI : KOTA HARAPAN INDAH BEKASI / DUTAMAS JELAMBAR JAKARTA BARAT https://t.co/iQal2q74B2,0,0,0
1,3,WTS GSX-R 2017 150CC bagus KM 28RB EK-CHAIN Jok leather bensin selalu ron 95 shell / 98 merah. 15jt nego. https://t.co/dZGg56f0xz,0,1,0
2,0,Ternyata beli bensin pake member Shell enak banget harganya kena diskon seliter Mayan banget anjir Fuck you Pertamina hahaha,0,0,0
3,0,@detikcom Kalau gua beli bensin di @Shell bukan di @pertamina apakah artinya saya merugikan negara @KejaksaanRI @mohmahfudmd ..?? Yang namanya dagang kalau kualitasnya setara lebih baik cari harga yang lebih kompetitif .. Jangankan atas nama lembaga negara atas nama keluarga g bisa.,0,0,0
4,0,ranking things i d replace my pee with : 1. es cendol 2. kopi tuku 3. air mata tifosi 4. jean paul gartier 5. liquor 6. bensin shell v-power nitro+ 7. kecap bangau 8. 3 table spoons of vinegar 9. baby oil 10. perahu,0,3,0
5,13,kalian yg pilih naik Lion daripada Garuda pilih nabung di BCA daripada di BRI pilih beli bensin di Shell daripada di Pertamina pilih beli lilin daripada pake listrik PLN harus diadili seperti @tomlembong karena telah menguntungkan swasta dan merugikan negara! ,1,0,6
6,0,day 1 tuku bensin shell,0,0,0
7,0,Bohong kan dosa kalo bohong pas isi bensin shell ditanya punya member atau enggak jawabnya enggak padahal punya karna males antri itu dosa ga?,0,0,0
8,1,Gais kalian ngisi bensin pertalite apa Pertamax atau shell? PICHE KOTA AT MISS INDONESIA #PicheMissIndo2025 #PicheKota,0,4,0
9,0,Lagi di shell beli bensin. Mau payment eh kedengeran orang mau bayar beli bensin pake kredivo. What? Wkwkkw,0,0,0
