Unnamed: 0,favorite_count,full_text,clean_text,sentiment
207.0,0,Disini ada yg user SPBU Shell dan payment pake QRIS ga? Pelayanan payment ya apa emg sampe jam 14:00 aja?,disini ada yg user spbu shell dan payment pake qris ga pelayanan payment ya apa emg sampe jam aja,negative
1249.0,19,smg raenek spbu shell ya?,smg raenek spbu shell ya,negative
1378.0,1,di serang tuh gada spbu shell kah.. ko kmrn ga liat yhhh,di serang tuh gada spbu shell kah ko kmrn ga liat yhhh,negative
1784.0,4,@innovacommunity Info nitro di sekitaran Tangerang kota dong udh 2 spbu Shell kosong nih,innovacommunity info nitro di sekitaran tangerang kota dong udh spbu shell kosong nih,negative
2297.0,1,@LexWu_13 Taun² kmrn isi bensin shell org pom ny klo ad bensin yg netes di lapin skrg kaya buru2 bgt ampe kadang ad yg netes2 mirip Pertamina ya walaupun gw tau gpp si berceceran asal gk tumpah tpi makin ke sini jdi rada mirip² terus denger ni berita jdi beralih ke pom Muhammadiyah aj lh,lexwu taun² kmrn isi bensin shell org pom ny klo ad bensin yg netes di lapin skrg kaya buru bgt ampe kadang ad yg netes mirip pertamina ya walaupun gw tau gpp si berceceran asal gk tumpah tpi makin ke sini jdi rada mirip² terus denger ni berita jdi beralih ke pom muhammadiyah aj lh,negative
2400.0,0,You gak suka silakan out Ini negeri kita !!! Apalagi you Shell udahlah out aja !!! Selama ini kami sering KE SPBU Shell karena kami anggap percaya kau. TAPI kalau kau udah ragu silakan out aja. Fuck you SHELL dikasih hati tapi GAK TAU DIRI!!!,you gak suka silakan out ini negeri kita apalagi you shell udahlah out aja selama ini kami sering ke spbu shell karena kami anggap percaya kau tapi kalau kau udah ragu silakan out aja fuck you shell dikasih hati tapi gak tau diri,negative
2417.0,0,mixed feeling bgt tau spbu shell pindah kepemilikan alias ga dimilikin sm shell secara lgsg lagi apa w balik pertamina lagi aja ya,mixed feeling bgt tau spbu shell pindah kepemilikan alias ga dimilikin sm shell secara lgsg lagi apa w balik pertamina lagi aja ya,negative
2461.0,0,@BosPurwa Pantesan akhir akhir ini bbm shell ada aja yg sering kosong di bbrp spbu nya. Sebelum kasus pertamax oplosan mencuat spbu shell selalu komplit isi spbu nya.,bospurwa pantesan akhir akhir ini bbm shell ada aja yg sering kosong di bbrp spbu nya sebelum kasus pertamax oplosan mencuat spbu shell selalu komplit isi spbu nya,negative
2470.0,1,@ridwanhr @grok apakah setelah Shell jual SPBU artinya pelumas Shell yg dijual di SPBU Shell lebih berpotensi palsu?,ridwanhr grok apakah setelah shell jual spbu artinya pelumas shell yg dijual di spbu shell lebih berpotensi palsu,negative
2472.0,0,@ridwanhr spbu shell akan tetap ada dengan kepemilikan lain yang jadi pertanyaanya apakah akan tetap sama kualitasnya ? atau perusahaan baru ini akan ditekan pembuat regulasi supaya monopoli bisnis bbm tetap terjaga ?,ridwanhr spbu shell akan tetap ada dengan kepemilikan lain yang jadi pertanyaanya apakah akan tetap sama kualitasnya atau perusahaan baru ini akan ditekan pembuat regulasi supaya monopoli bisnis bbm tetap terjaga,negative
2498.0,0,@Urrangawak Jadi korupsi yang hampir 1000 triliun itu untuk membeli SPBU shell,urrangawak jadi korupsi yang hampir triliun itu untuk membeli spbu shell,negative
2616.0,0,@LexWu_13 semenjak V power nitro + udah nggak ada di spbu shell shell udah nggak asik,lexwu semenjak v power nitro udah nggak ada di spbu shell shell udah nggak asik,negative
2640.0,0,@ridwanhr Jadi semua SPBU shell bakal berubah nama jg kh?,ridwanhr jadi semua spbu shell bakal berubah nama jg kh,negative
2670.0,0,@LexWu_13 Sampai jelas kepemilikan SPBU Shell di sini siapa mari ke yang lain dulu. Apa iya toko jadi ramai kok malah ditinggal pemiliknya. Aneh.,lexwu sampai jelas kepemilikan spbu shell di sini siapa mari ke yang lain dulu apa iya toko jadi ramai kok malah ditinggal pemiliknya aneh,negative
2705.0,0,@Urrangawak Mulai di oplos ni spbu shell Kemana lagi bisa mendapat kejujuran,urrangawak mulai di oplos ni spbu shell kemana lagi bisa mendapat kejujuran,negative
2730.0,3,Tampaknya SPBU Shell mau jual BBM Oplosan? https://t.co/mN307EBtI5,tampaknya spbu shell mau jual bbm oplosan,negative
2856.0,0,Seluruh SPBU Shell akan ganti pengelola ke Citadel Pacific Limited dan Sefas Group. Nah lho!!! Kerangnya ngilang. https://t.co/2i5fCrwKsw,seluruh spbu shell akan ganti pengelola ke citadel pacific limited dan sefas group nah lho kerangnya ngilang,negative
