favorite_count,full_text,clean_text,sentiment
0,Oli Mesin Bensin &amp; Diesel Galon 4L SHELL HELIX HX3 20W-50 HARGA : 180.000 NETT (TIDAK NEGO) Active Cleansing Technology sebagai perlindungan mesin LOKASI : KOTA HARAPAN INDAH BEKASI / DUTAMAS JELAMBAR JAKARTA BARAT https://t.co/iQal2q74B2,oli mesin bensin amp diesel galon l shell helix hx w harga nett nego active cleansing technology perlindungan mesin lokasi kota harapan indah bekasi dutamas jelambar jakarta barat,neutral
3,WTS GSX-R 2017 150CC bagus KM 28RB EK-CHAIN Jok leather bensin selalu ron 95 shell / 98 merah. 15jt nego. https://t.co/dZGg56f0xz,wts gsxr cc bagus km rb ekchain jok leather bensin ron shell merah jt nego,neutral
0,Ternyata beli bensin pake member Shell enak banget harganya kena diskon seliter Mayan banget anjir Fuck you Pertamina hahaha,beli bensin pake member shell enak banget harganya kena diskon seliter mayan banget anjir fuck you pertamina hahaha,positive
0,@detikcom Kalau gua beli bensin di @Shell bukan di @pertamina apakah artinya saya merugikan negara @KejaksaanRI @mohmahfudmd ..?? Yang namanya dagang kalau kualitasnya setara lebih baik cari harga yang lebih kompetitif .. Jangankan atas nama lembaga negara atas nama keluarga g bisa.,gua beli bensin merugikan negara namanya dagang kualitasnya setara cari harga kompetitif nama lembaga negara nama keluarga g,neutral
0,ranking things i d replace my pee with : 1. es cendol 2. kopi tuku 3. air mata tifosi 4. jean paul gartier 5. liquor 6. bensin shell v-power nitro+ 7. kecap bangau 8. 3 table spoons of vinegar 9. baby oil 10. perahu,ranking things i d replace my pee with es cendol kopi tuku air mata tifosi jean paul gartier liquor bensin shell vpower nitro kecap bangau table spoons of vinegar baby oil perahu,neutral
13,kalian yg pilih naik Lion daripada Garuda pilih nabung di BCA daripada di BRI pilih beli bensin di Shell daripada di Pertamina pilih beli lilin daripada pake listrik PLN harus diadili seperti @tomlembong karena telah menguntungkan swasta dan merugikan negara! ,pilih lion garuda pilih nabung bca bri pilih beli bensin shell pertamina pilih beli lilin pake listrik pln diadili menguntungkan swasta merugikan negara,neutral
0,day 1 tuku bensin shell,day tuku bensin shell,neutral
0,Bohong kan dosa kalo bohong pas isi bensin shell ditanya punya member atau enggak jawabnya enggak padahal punya karna males antri itu dosa ga?,bohong dosa kalo bohong pas isi bensin shell member karna males antri dosa ga,negative
1,Gais kalian ngisi bensin pertalite apa Pertamax atau shell? PICHE KOTA AT MISS INDONESIA #PicheMissIndo2025 #PicheKota,gais ngisi bensin pertalite pertamax shell piche kota at miss indonesia,neutral
0,Lagi di shell beli bensin. Mau payment eh kedengeran orang mau bayar beli bensin pake kredivo. What? Wkwkkw,shell beli bensin payment eh kedengeran orang bayar beli bensin pake kredivo what wkwkkw,neutral
0,gw ngisi bensin 180k di shell tapi ga naik ini gw ditipu apa mobil gw yg rusak yak https://t.co/za4btbibZ8,gw ngisi bensin k shell ga gw ditipu mobil gw rusak yak,neutral
0,@bubblushy @tanyarlfes masa?????? aku tiap hari isi bensin lho mau di shell mau di pertamina ga pernah turun mobil tinggal bilang aja. Kalau self service ya kayak di luar semua dikerjakan sendiri,isi bensin lho shell pertamina ga turun mobil tinggal bilang self service ya kayak,neutral
2,tadi beli bensin di SPBU shell mas masnya keliatan masih baru karena belom make seragam cuma make hitam putih + rompi ijo terang. beliau detail banget pas sambil ngisi nozzle kalo di shell lagi ada undian ke singapore buat member dengan minimal pembelian.,beli bensin spbu shell mas masnya keliatan belom make seragam make hitam putih rompi ijo terang beliau detail banget pas ngisi nozzle kalo shell undian singapore member minimal pembelian,neutral
3,@IlhamKreativ @tanyarlfes Kalo gak ada BP/Shell isi bensin pake air ya,kalo gak bpshell isi bensin pake air ya,neutral
